Show	Category	Section	Aggregation 1	Aggregation 2	Aggregation 3	Aggregation 4	Aggregation 5
County	Children's Pets	Children's Pets	Pets	Pets	County	NA	NA
County	Dogs	Dogs	Dogs	Dogs	County	NA	NA
County	Open Dogs	Open Dogs	Dogs	Dogs	County	NA	NA
East Mainland	Horses and Ponies	Heavy Horses	Heavy Horses	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Horse & Pony Section (inc unregistered Shetlands)	Horse & Pony Section (inc unregistered Shetlands)	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Light Legged Horses	Light Legged Horses	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Shetland Ponies	Shetland Ponies	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Miniature Ponies	Miniature Ponies	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Shetland Miniature Ponies	Miniature Ponies	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Shetland Pony Ridden / Young Handler	Shetland Ponies	Horses and Ponies	East Mainland	NA	NA
East Mainland	Horses and Ponies	Leading Rein	Leading Rein	Horses and Ponies	East Mainland	NA	NA
East Mainland	Cattle	Shorthorn	Shorthorn	Cattle	East Mainland	Pedigree	Native
East Mainland	Cattle	Pure-Bred Aberdeen-Angus	Aberdeen-Angus	Cattle	East Mainland	Pedigree	Native
East Mainland	Cattle	Hereford	Hereford	Cattle	East Mainland	Pedigree	Native
East Mainland	Cattle	Purebred Continental	Pure-Bred Continentals	Cattle	East Mainland	Pedigree	Continental
East Mainland	Cattle	Young Handler	Young Handlers	Cattle	East Mainland	NA	NA
East Mainland	Cattle	Young Farmers	Young Farmers	Cattle	East Mainland	NA	NA
East Mainland	Cattle	All Cross Cattle	Cross	Cattle	East Mainland	Cross	Cross
East Mainland	Cattle	Dairy Cattle	Dairy Cattle	Cattle	East Mainland	NA	NA
East Mainland	Sheep	Border Leicester	Border Leicester	Sheep	East Mainland	Pedigree	Native
East Mainland	Sheep	Cheviot	Cheviot	Sheep	East Mainland	Pedigree	Native
East Mainland	Sheep	Suffolk	Suffolk	Sheep	East Mainland	Pedigree	Native
East Mainland	Sheep	Texel	Texel	Sheep	East Mainland	Pedigree	Continental
East Mainland	Sheep	Charollais	Charollais	Sheep	East Mainland	Pedigree	Continental
East Mainland	Sheep	Any Other Pure Breed or Half-Breed	Any Other Pure Breed or Half-Breed	Sheep	East Mainland	Pedigree	NA
East Mainland	Sheep	Any Other Pure Breed	Any Other Pure Breed or Half-Breed	Sheep	East Mainland	Pedigree	NA
East Mainland	Sheep	Half-Bred Sheep	Cross-Bred	Sheep	East Mainland	Pedigree	NA
East Mainland	Sheep	Cross Bred	Cross-Bred	Sheep	East Mainland	Cross	Cross
East Mainland	Sheep	Junior Section	Junior Section	Sheep	East Mainland	NA	NA
East Mainland	Poultry	Poultry	Poultry	Poultry	East Mainland	NA	NA
East Mainland	Poultry	Bantams	Bantams	Poultry	East Mainland	NA	NA
East Mainland	Goats	Goats	Goats	Goats	East Mainland	NA	NA
East Mainland	Dogs	Dogs	Dogs	Dogs	East Mainland	NA	NA
Shapinsay	Horses and Ponies	Horses and Ponies	Horses and Ponies	Horses and Ponies	Shapinsay	NA	NA
Shapinsay	Cattle	Pure Limousin	Limousin	Cattle	Shapinsay	Pedigree	Continental
Shapinsay	Cattle	Pure Aberdeen-Angus	Aberdeen-Angus	Cattle	Shapinsay	Pedigree	Native
Shapinsay	Cattle	Crossbred Cattle	Cross	Cattle	Shapinsay	Cross	Cross
Shapinsay	Sheep	Texel	Texel	Sheep	Shapinsay	Pedigree	Continental
Shapinsay	Sheep	Beltex	Beltex	Sheep	Shapinsay	Pedigree	Continental
Shapinsay	Sheep	Suffolk	Suffolk	Sheep	Shapinsay	Pedigree	Native
Shapinsay	Sheep	Any Other Pure Breed	Any Other Pure Breed	Sheep	Shapinsay	Pedigree	NA
Shapinsay	Sheep	Crossbred Sheep	Cross	Sheep	Shapinsay	Cross	Cross
Shapinsay	Goats	Goats	Goats	Goats	Shapinsay	NA	NA
Shapinsay	Poultry	Poultry	Poultry	Poultry	Shapinsay	NA	NA
Shapinsay	Dogs	Dogs	Dogs	Dogs	Shapinsay	NA	NA
